nodename,batch,solution,version,git,task,data,timestamp,action,stderr
mr-0xc11,1543942552,pandas,0.23.4,,groupby,G1_1e7_1e2_0_0,1543942776.61154,start,
mr-0xc11,1543942552,pandas,0.23.4,,groupby,G1_1e7_1e2_0_0,1543942785.93923,finish,2
mr-0xc11,1543942552,pandas,0.23.4,,groupby,G1_1e7_1e1_0_0,1543942785.95409,start,
mr-0xc11,1543942552,pandas,0.23.4,,groupby,G1_1e7_1e1_0_0,1543942798.31972,finish,2
mr-0xc11,1543942552,pandas,0.23.4,,groupby,G1_1e7_2e0_0_0,1543942798.33008,start,
mr-0xc11,1543942552,pandas,0.23.4,,groupby,G1_1e7_2e0_0_0,1543942822.08298,finish,2
mr-0xc11,1543942552,pandas,0.23.4,,groupby,G1_1e7_1e2_0_1,1543942822.09658,start,
mr-0xc11,1543942552,pandas,0.23.4,,groupby,G1_1e7_1e2_0_1,1543942830.9963,finish,2
mr-0xc11,1543942552,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e7_1e2_0_0,1543942831.0131,start,
mr-0xc11,1543942552,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e7_1e2_0_0,1543942840.42683,finish,0
mr-0xc11,1543942552,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e7_1e1_0_0,1543942840.43369,start,
mr-0xc11,1543942552,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e7_1e1_0_0,1543942852.86761,finish,0
mr-0xc11,1543942552,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e7_2e0_0_0,1543942852.87444,start,
mr-0xc11,1543942552,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e7_2e0_0_0,1543942868.28155,finish,0
mr-0xc11,1543942552,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e7_1e2_0_1,1543942868.28805,start,
mr-0xc11,1543942552,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e7_1e2_0_1,1543942878.69772,finish,0
mr-0xc11,1543942552,spark,2.4.0,,groupby,G1_1e7_1e2_0_0,1543942878.70679,start,
mr-0xc11,1543942552,spark,2.4.0,,groupby,G1_1e7_1e2_0_0,1543942918.45872,finish,2
mr-0xc11,1543942552,spark,2.4.0,,groupby,G1_1e7_1e1_0_0,1543942918.47768,start,
mr-0xc11,1543942552,spark,2.4.0,,groupby,G1_1e7_1e1_0_0,1543942949.55449,finish,2
mr-0xc11,1543942552,spark,2.4.0,,groupby,G1_1e7_2e0_0_0,1543942949.5681,start,
mr-0xc11,1543942552,spark,2.4.0,,groupby,G1_1e7_2e0_0_0,1543942981.5439,finish,2
mr-0xc11,1543942552,spark,2.4.0,,groupby,G1_1e7_1e2_0_1,1543942981.5549,start,
mr-0xc11,1543942552,spark,2.4.0,,groupby,G1_1e7_1e2_0_1,1543943010.42497,finish,2
mr-0xc11,1543942552,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_1e2_0_0,1543943010.4432,start,
mr-0xc11,1543942552,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_1e2_0_0,1543943048.1308,finish,0
mr-0xc11,1543942552,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_1e1_0_0,1543943048.1433,start,
mr-0xc11,1543942552,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_1e1_0_0,1543943118.54157,finish,0
mr-0xc11,1543942552,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_2e0_0_0,1543943118.55432,start,
mr-0xc11,1543942552,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_2e0_0_0,1543943216.25202,finish,0
mr-0xc11,1543942552,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_1e2_0_1,1543943216.26192,start,
mr-0xc11,1543942552,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_1e2_0_1,1543943250.07698,finish,0
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e7_1e2_0_0,1543944674.6104,skip,0
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e8_1e2_0_0,1543944674.61904,start,
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e8_1e2_0_0,1543944736.17278,finish,0
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e7_1e1_0_0,1543944736.19164,skip,0
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e8_1e1_0_0,1543944736.20194,start,
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e8_1e1_0_0,1543944833.58728,finish,0
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e7_2e0_0_0,1543944833.60468,skip,0
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e8_2e0_0_0,1543944833.61486,start,
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e8_2e0_0_0,1543945039.65053,finish,0
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e7_1e2_0_1,1543945039.6652,skip,0
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e8_1e2_0_1,1543945039.67525,start,
mr-0xc11,1543944580,data.table,1.11.9,e2a95fb24934f606639b4a316b2ed134f3062045,groupby,G1_1e8_1e2_0_1,1543945092.62702,finish,0
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e7_1e2_0_0,1543945092.64649,skip,1
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e8_1e2_0_0,1543945092.65663,start,
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e8_1e2_0_0,1543945240.64218,finish,1
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e7_1e1_0_0,1543945240.65679,skip,1
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e8_1e1_0_0,1543945240.66682,start,
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e8_1e1_0_0,1543945513.58363,finish,1
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e7_2e0_0_0,1543945513.59685,skip,1
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e8_2e0_0_0,1543945513.60551,start,
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e8_2e0_0_0,1543946038.05601,finish,1
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e7_1e2_0_1,1543946038.07005,skip,1
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e8_1e2_0_1,1543946038.08093,start,
mr-0xc11,1543944580,dplyr,0.7.99.9000,40274b3c30b56e3498f202fffb86c1bcfda327d7,groupby,G1_1e8_1e2_0_1,1543946175.18359,finish,1
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e7_1e2_0_0,1543946175.20487,skip,2
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e8_1e2_0_0,1543946175.21316,start,
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e8_1e2_0_0,1543946279.79202,finish,2
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e7_1e1_0_0,1543946279.80677,skip,2
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e8_1e1_0_0,1543946279.81717,start,
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e8_1e1_0_0,1543946448.86982,finish,2
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e7_2e0_0_0,1543946448.88371,skip,2
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e8_2e0_0_0,1543946448.89361,start,
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e8_2e0_0_0,1543946760.49111,finish,2
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e7_1e2_0_1,1543946760.50583,skip,2
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e8_1e2_0_1,1543946760.51621,start,
mr-0xc11,1543944580,pandas,0.23.4,,groupby,G1_1e8_1e2_0_1,1543946858.57779,finish,2
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e7_1e2_0_0,1543946858.59728,skip,0
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e8_1e2_0_0,1543946858.60659,start,
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e8_1e2_0_0,1543946956.45,finish,0
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e7_1e1_0_0,1543946956.46122,skip,0
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e8_1e1_0_0,1543946956.47121,start,
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e8_1e1_0_0,1543947078.99644,finish,0
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e7_2e0_0_0,1543947079.0067,skip,0
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e8_2e0_0_0,1543947079.01597,start,
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e8_2e0_0_0,1543947235.58239,finish,0
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e7_1e2_0_1,1543947235.59169,skip,0
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e8_1e2_0_1,1543947235.59975,start,
mr-0xc11,1543944580,pydatatable,0.7.0,ae72dc77bed30f8135f2f6880dba3c4a5d425a1d,groupby,G1_1e8_1e2_0_1,1543947318.98406,finish,0
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e7_1e2_0_0,1543947318.99783,skip,2
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e8_1e2_0_0,1543947319.00629,start,
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e8_1e2_0_0,1543947457.66133,finish,2
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e7_1e1_0_0,1543947457.67414,skip,2
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e8_1e1_0_0,1543947457.68462,start,
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e8_1e1_0_0,1543947614.49841,finish,2
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e7_2e0_0_0,1543947614.5139,skip,2
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e8_2e0_0_0,1543947614.52521,start,
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e8_2e0_0_0,1543947776.94491,finish,2
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e7_1e2_0_1,1543947776.95971,skip,2
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e8_1e2_0_1,1543947776.9694,start,
mr-0xc11,1543944580,spark,2.4.0,,groupby,G1_1e8_1e2_0_1,1543947908.66834,finish,2
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_1e2_0_0,1543947908.68434,skip,0
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e8_1e2_0_0,1543947908.69548,start,
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e8_1e2_0_0,1543948645.70188,finish,0
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_1e1_0_0,1543948645.71595,skip,0
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e8_1e1_0_0,1543948645.72491,start,
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e8_1e1_0_0,1543950051.23998,finish,0
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_2e0_0_0,1543950051.25418,skip,0
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e8_2e0_0_0,1543950051.26454,start,
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e8_2e0_0_0,1543952179.44375,finish,0
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e7_1e2_0_1,1543952179.45794,skip,0
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e8_1e2_0_1,1543952179.46795,start,
mr-0xc11,1543944580,dask,1.0.0,38676863a6ae336bcb307a29a521de32480722b0,groupby,G1_1e8_1e2_0_1,1543952890.75033,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e7_1e2_0_0,1544008893.02327,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e7_1e2_0_0,1544008900.89793,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e8_1e2_0_0,1544008900.91167,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e8_1e2_0_0,1544008968.0139,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e9_1e2_0_0,1544008968.0334,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e9_1e2_0_0,1544009747.52942,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e7_1e1_0_0,1544009747.54397,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e7_1e1_0_0,1544009758.1727,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e8_1e1_0_0,1544009758.18594,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e8_1e1_0_0,1544009858.85634,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e9_1e1_0_0,1544009858.86665,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e9_1e1_0_0,1544011110.08492,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e7_2e0_0_0,1544011110.10006,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e7_2e0_0_0,1544011129.23675,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e8_2e0_0_0,1544011129.2509,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e8_2e0_0_0,1544011340.41621,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e9_2e0_0_0,1544011340.42847,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e9_2e0_0_0,1544013656.60339,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e7_1e2_0_1,1544013656.65869,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e7_1e2_0_1,1544013664.30413,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e8_1e2_0_1,1544013664.31412,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e8_1e2_0_1,1544013719.07547,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e9_1e2_0_1,1544013719.08945,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e9_1e2_0_1,1544014379.97536,finish,0
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e7_1e2_0_0,1544014379.99176,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e7_1e2_0_0,1544014390.3003,finish,1
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e8_1e2_0_0,1544014390.31053,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e8_1e2_0_0,1544014552.936,finish,1
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e9_1e2_0_0,1544014552.94976,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e9_1e2_0_0,1544016607.82576,finish,1
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e7_1e1_0_0,1544016607.83863,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e7_1e1_0_0,1544016631.21162,finish,1
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e8_1e1_0_0,1544016631.22582,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e8_1e1_0_0,1544016912.0904,finish,1
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e9_1e1_0_0,1544016912.10458,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e9_1e1_0_0,1544020334.2067,finish,1
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e7_2e0_0_0,1544020334.28526,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e7_2e0_0_0,1544020384.44602,finish,1
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e8_2e0_0_0,1544020384.46014,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e8_2e0_0_0,1544020929.61546,finish,1
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e9_2e0_0_0,1544020929.64741,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e9_2e0_0_0,1544022018.02881,finish,6
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e7_1e2_0_1,1544022018.28957,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e7_1e2_0_1,1544022029.60192,finish,1
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e8_1e2_0_1,1544022029.61407,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e8_1e2_0_1,1544022173.77938,finish,1
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e9_1e2_0_1,1544022173.78954,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e9_1e2_0_1,1544023966.07747,finish,1
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e7_1e2_0_0,1544023966.10058,skip,2
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e8_1e2_0_0,1544023966.15928,skip,2
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e9_1e2_0_0,1544023966.17667,start,
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e9_1e2_0_0,1544024556.94368,finish,8
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e7_1e1_0_0,1544024557.06845,skip,2
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e8_1e1_0_0,1544024557.08956,skip,2
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e9_1e1_0_0,1544024557.10491,start,
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e9_1e1_0_0,1544025171.0562,finish,8
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e7_2e0_0_0,1544025171.15517,skip,2
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e8_2e0_0_0,1544025171.17529,skip,2
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e9_2e0_0_0,1544025171.19155,start,
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e9_2e0_0_0,1544025815.15031,finish,8
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e7_1e2_0_1,1544025815.24909,skip,2
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e8_1e2_0_1,1544025815.26948,skip,2
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e9_1e2_0_1,1544025815.28441,start,
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e9_1e2_0_1,1544026421.00427,finish,8
mr-0xc11,1544008625,pydatatable,0.7.0,7207d46e99da39dda000a0892067f90ce64046a6,groupby,G1_1e7_1e2_0_0,1544026421.11314,start,
mr-0xc11,1544008625,pydatatable,0.7.0,7207d46e99da39dda000a0892067f90ce64046a6,groupby,G1_1e7_1e2_0_0,1544026431.72795,finish,0
